CODE,ADDDTTM,EFFDATE,EXPDATE,DESCRIPT,ADDBY,MODBY,MODDTTM
,2/28/2015,,,,,,
0,3/2/2013,,,Unknown,,,
01,3/2/2013,4/16/2003,,Under the Influence of Alcohol,,,
02,3/2/2013,4/16/2003,,Under the Influence of Drugs,,,
03,3/2/2013,4/16/2003,,Exceeding Stated Speed Limit,,,
04,3/2/2013,4/16/2003,,Exceeding Reasonable and Safe Speed,,,
05,3/2/2013,4/16/2003,,Did not Grant Right of Way to Vehicle,,,
06,3/2/2013,4/16/2003,,Improper Passing,,,
07,3/2/2013,4/16/2003,,Following Too Closely,,,
08,3/2/2013,4/16/2003,,Over Center Line,,,
09,3/2/2013,4/16/2003,,Failing To Signal,,,
1,3/2/2013,4/16/2003,,Under the Influence of Alcohol,,,
10,3/2/2013,4/16/2003,,Improper Turn,,,
11,3/2/2013,4/16/2003,,Disregard Stop and Go Light,,,
12,3/2/2013,4/16/2003,,Disregard Stop Sign/Flashing Red,,,
13,3/2/2013,4/16/2003,,Disregard Yield Sign/Flashing Yellow,,,
14,3/2/2013,4/16/2003,,Apparently Asleep,,,
15,3/2/2013,4/16/2003,,Improper Parking Location,,,
16,3/2/2013,4/16/2003,,Operating Defective Equipment,,,
17,3/2/2013,4/16/2003,,Other,,,
18,3/2/2013,4/16/2003,,None,,,
19,3/2/2013,4/16/2003,,Improper Signal,,,
2,3/2/2013,4/16/2003,,Under the Influence of Drugs,,,
20,3/2/2013,4/16/2003,,Improper U-Turn,,,
21,3/2/2013,4/16/2003,,Headlight Violation,,,
22,3/2/2013,4/16/2003,,Did not Grant Right of Way to Pedestrian,,,
23,3/2/2013,4/16/2003,,Inattention,,,
24,3/2/2013,4/16/2003,,Improper Backing,,,
3,3/2/2013,4/16/2003,,Exceeding Stated Speed Limit,,,
30,3/2/2013,4/16/2003,,Disregard Flagger/Officer,,,
31,3/2/2013,4/16/2003,,Apparently Ill,,,
32,3/2/2013,4/16/2003,,Apparently Fatigued,,,
33,3/2/2013,4/16/2003,,Had Taken Medication,,,
34,3/2/2013,4/16/2003,,On Wrong Side OF Road,,,
35,3/2/2013,4/16/2003,,Hitchhiking,,,
36,3/2/2013,4/16/2003,,Failure to Use Xwalk,,,
4,3/2/2013,4/16/2003,,Exceeding Reasonable and Safe Speed,,,
40,3/2/2013,1/1/2006,,Driver Operating Handheld Telecommunications Device,,,
41,3/2/2013,1/1/2006,,Driver Operating Hands-free Wireless Telecommunications Device,,,
42,3/2/2013,1/1/2006,,"Driver Operating Other Electronic Devices (computers, navigational, etc.)",,,
43,3/2/2013,1/1/2006,,Driver Adjusting Audio or Entertainment System,,,
44,3/2/2013,1/1/2006,,Driver Smoking,,,
45,3/2/2013,1/1/2006,,Driver Eating or Drinking,,,
46,3/2/2013,,,Driver Reading or Writing,,,
47,3/2/2013,1/1/2006,,Driver Grooming,,,
48,3/2/2013,1/1/2006,,"Driver Interacting with passengers, Animals, or Objects Inside Vehicle",,,
49,3/2/2013,1/1/2006,,Other Driver Distractions Inside Vehicle,,,
5,3/2/2013,4/16/2003,,Did not Grant Right of Way to Vehicle,,,
50,3/2/2013,1/1/2006,,Driver Distractions Outiside Vehicle,,,
51,3/2/2013,1/1/2006,,Unknown Driver Distraction,,,
52,3/2/2013,,,Driver Not Distracted,,,
6,3/2/2013,4/16/2003,,Improper Passing,,,
7,3/2/2013,4/16/2003,,Following Too Closely,,,
8,3/2/2013,4/16/2003,,Over Center Line,,,
9,3/2/2013,4/16/2003,,Failing To Signal,,,
